Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[ecotype]	Sample Characteristic Ontology Term[ecotype]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[sampling site]	Factor Value Ontology Term[sampling site]	Analysed
ERR3333388	28 to 35 day		flower stage 15		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	petal	http://purl.obolibrary.org/obo/PO_0009032	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 15		sepal	http://purl.obolibrary.org/obo/PO_0009031	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333389	30 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	stem node	http://purl.obolibrary.org/obo/PO_0020141	first node		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stem node	http://purl.obolibrary.org/obo/PO_0020141	first node		Yes
ERR3333390	30 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	stem internode	http://purl.obolibrary.org/obo/PO_0020142	second internode		adult	http://www.ebi.ac.uk/efo/EFO_0001272	stem internode	http://purl.obolibrary.org/obo/PO_0020142	second internode		Yes
ERR3333391	30 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	cauline leaf	http://purl.obolibrary.org/obo/PO_0000013	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	adult	http://www.ebi.ac.uk/efo/EFO_0001272	cauline leaf	http://purl.obolibrary.org/obo/PO_0000013	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333392	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 7 distal part		adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 7 distal part		Yes
ERR3333393	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 7 proximal part		adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 7 proximal part		Yes
ERR3333394	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	petiole	http://purl.obolibrary.org/obo/PO_0020038	rosette leaf 7 petiole		adult	http://www.ebi.ac.uk/efo/EFO_0001272	petiole	http://purl.obolibrary.org/obo/PO_0020038	rosette leaf 7 petiole		Yes
ERR3333395	35 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	adult vascular leaf	http://purl.obolibrary.org/obo/PO_0006340	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	adult	http://www.ebi.ac.uk/efo/EFO_0001272	adult vascular leaf	http://purl.obolibrary.org/obo/PO_0006340	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333396	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	http://purl.obolibrary.org/obo/PO_0009005	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	adult	http://www.ebi.ac.uk/efo/EFO_0001272	root	http://purl.obolibrary.org/obo/PO_0009005	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333397	28 to 35 day		flower stage 15		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	flower pedicel	http://purl.obolibrary.org/obo/PO_0030113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 15		flower pedicel	http://purl.obolibrary.org/obo/PO_0030113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
