gene	transcript_id	xref_id	AP-1	AP-2	AP-3	AP-4	AP-7	AP-8	AP-9	AP-10	AP-11	AP-12	AP-13	AP-14	AP-15	AP-16	AP-17	AP-18	AP-20	AP-21	AP-22	AP-23	CC-1	CC-2	SDL-1	SDL-2	SDL-3	SDL-4	SDL-5	DV-FL-1	DV-FL-2	DV-FL-3	DV-FL-4	DV-FL-5	DV-FL-6	DV-EB-1	DV-EB-2	DV-EB-3	DV-EB-4	DV-EB-5	DV-EB-6	DV-EB-7	DV-EB-8	DV-EB-9	DV-EB-10	DV-LF-0	DV-LF-1	DV-LF-2	DV-LF-3	DV-LF-4	DV-LF-5	DV-LF-6	DV-LF-7	DV-LF-8	DV-LF-9	DV-LF-10	DV-LF-11	DV-LF-12
AT1G01010			1.47666	10.5782	1.50053	14.6525	2.24494	2.49733	0.0563681	8.83278	8.16069	10.7443	16.1008	13.7996	6.21808	9.73966	40.3866	1.46788	11.1362	14.4668	39.5625	64.0849	15.2324	61.471	2.85367	10.3669	34.7231	36.2123	2.94847	6.26675	6.35635	6.88517	17.3618	11.2954	11.069	2.95154	2.94425	3.00337	2.46382	2.35174	0.491228	0.467907	0.786643	0.0980763	0.270346	22.5193	11.1418	13.6549	7.4318	8.93579	5.03476	5.44766	3.36065	3.80254	5.29088	3.56068	4.0749	7.08573
AT1G01020			10.4780358	8.390638	3.935386	19.722676	1.770334	2.87413	0.784951	20.92589	20.803513	14.630172	5.894031	7.924455	9.02201	5.263347	10.53934	10.43011	3.178806	3.60127800136301	18.476942	10.741945	4.751312	13.15016	5.394428	9.544466	6.21241	11.57307962406	8.588044	44.93959	37.33165	35.38448	20.661862	16.24118	16.3080900188598	20.226138	21.216668	14.57879	3.017407	2.4084	0.897111	1.323723	2.633047	0.802884034	1.444976	10.05004340068	22.076267	17.611069	17.66981	19.913051	16.96473	18.450737	19.86467	22.904356	17.503784	24.34266	25.9689	28.9553
AT1G01030			7.886041	7.05271	0.3153067	4.19868	0.574123	1.10963	0.0262136	0.0268735	0.0496883	1.293893	4.01518	2.890893	0.1490685	2.2382	1.62317	0	4.104551	6.019266	0	2.360093	0	0	4.20161	0.470179	0.37974	1.96915	4.87605	8.66818	7.967059	9.029014	8.83102	4.680917	3.77544	3.040813	3.10304	2.69531	1.04331	0.418628	0	0	0	0.122548	0.1881247	3.399606	4.032653	4.34592	2.303292	2.41447	3.18366	2.212092	1.90324	1.41247	1.58153	2.14478	2.28324	8.215486
AT1G01040			21.54552	19.581	5.66906	29.4297	1.848387	3.64681	0.418607	27.04865	26.858	19.1488	7.90028	13.10411	15.03341	21.01808	14.11833	23.1924	25.243	19.34666	34.0934	24.98596	13.08617	16.73827	9.55793	16.98584	13.52423	15.39151	12.92145	56.5735	38.5487	32.2448	23.30044	21.76705	20.23338	21.9821	22.8689	15.71918	10.324933	4.700899	0.263958	0.287041	0.4968969	0.11274800571917	0.297201	21.59884	19.65814	13.47649	16.37124	16.36786	12.2725	12.93483	9.57276	13.03364	13.79419	15.13132	14.71012	14.25423
AT1G01050			61.796368	72.080735	35.329	104.805	17.1437	17.6328	6.60772	145.067	142.647	117.893011	90.154207	103.898	137.174847	70.1088	153.978648	143.372	58.5296	93.9822	91.7907	88.1524	44.1487	72.348734	67.2652	124.188	126.65372	135.349	92.0759	80.3249	88.7343	113.07962	154.511276	90.090832	95.146	128.846	124.774437	130.248	137.074465	131.586251	45.5864	40.3979	44.9357	23.9001	19.8127	99.2074	161.09	137.3	114.668348	130.787	96.628507	85.8062	77.4597	82.535577	96.1553	91.8246	94.2101	89.507234
AT1G01060			119.572521	119.98101358728	31.9122253195692	58.917126	0.1440846	4.74117085	0.731477	66.1885570828167	62.380555	70.083509907614	32.0436550003221	22.78675541995	40.131004296031	46.7373515	39.83939072	92.7075110005552	38.0816329	76.4423930212745	15.3880301	12.3375765	1.758111	26.546993	73.835318	91.406203	33.843613	27.949777	183.803324267538	61.5855049	60.9870460105631	77.3364316254245	81.16035	87.8024010023307	74.8613410064906	57.603314	67.9897073	31.9529104765292	19.840345	8.147781	0.154354	0.556634	0.754174	0.301534	0.760073	67.934196	137.82647	104.879008	75.3467850008982	85.7597324	62.259004	70.338008	19.386978002326	16.2143061	12.827959	43.250693	46.9623689	9.110889
AT1G01070			11.89939	21.61055	24.3095	0.473544	0	0.0710951	0	30.7613	18.73449	30.7676	6.115852	10.50646	16.31221	20.44239	29.2583	13.47841	0.902762	0.732799	0.0539299	7.69526	0	0.126383	0.3440387	40.9828	23.13575	12.60683	2.097901	1.946109	2.33737	2.569057	11.59835	14.51413	15.78551	0.0768773	0.287613	0.283912	0.465134	0.44759	0	0	1.467157	1.434185	2.473719	32.41	4.91563	17.80662	17.81639	20.19639	19.03262	10.35421	1.827866	0.786989	3.00782	0.53176	0.61108	0.0708491
AT1G01080			8.603712	3.35896	1.3195659	39.92018	0.309928	0.217979	0.0259811	19.38458	22.74224	43.30549	50.57296	56.21469	43.02655	8.387213	8.85201	43.64369	2.965866	8.286963	21.91121	4.655762	9.66303	14.01015	68.87072	35.43986	4.507118981	6.41115	69.77184	23.51063	28.15724	28.48877	23.1825	18.52774	25.92273	59.0488	63.6878	58.83744	42.04026	30.1695	8.691958	9.12235	9.282865	3.919257	1.9946361	10.2392	58.9126	46.2985	65.7092	70.52333	67.4008	75.88181	75.3718	103.7727	85.12004	112.4959	120.1638	128.7318
AT1G01090			86.1913	41.8045	43.4963	92.4584	2.29102	3.45439	5.05127	66.8668	64.3762	79.7579	85.0631	95.2652	98.9191	52.7944	139.365	88.975	62.2773	88.843	52.1665	41.5865	78.4447	35.5651	108.883	201.565	133.877	161.014	172.884	72.4419	100.014	108.03	149.166	103.604	89.3826	127.907	129.11	121.63	112.018	113.977	87.2215	147.744	277.245	154.694	140.914	27.1344	67.0718	57.8668	73.7457	79.3661	77.6939	80.9305	89.722	104.796	89.4474	103.253	103.163	123.483
AT1G01100			86.75962	87.4249	29.25438	1067.56974	65.8205	80.4058	0.406219	344.00829	278.9309	119.4935	144.92012	143.1197	230.6077	58.6546	639.23017	184.149	203.8955	120.9086	506.9953	487.30027	655.6188	364.37042	163.00903	510.10056	185.87593	477.0371	258.47934	1068.87922	736.18229	771.36694	516.8996	530.44847	583.0276	1325.0414	1160.4595	890.41662	433.73864	479.1772	816.4515	740.82282	615.4611	361.16914	191.332397	103.2884	235.0408	253.13964	248.12947	227.67764	215.28026	230.1442	298.0952	286.7283	242.84859	373.0082	396.3552	575.75613
AT1G01110			2.881038	0.233478	0.949057	16.76378	0.167623	0.282635	0	1.4928918	1.579256	0.706244	2.27521	2.79386	13.26843	0.20122	7.20001	7.15522	0.0877604	0.110229	0	5.499835	1.237328	0.0641151	0.866904	7.341910390106	1.89626	9.877149	2.65832	16.24756	13.30117	16.59354	10.813024	9.7299651	7.99716	11.33682	9.9625	10.19331	3.26786000699336	1.215243	0.440235	0.323941	0.65061	0.287504	0.614197	0.11933	0.254591	0.403939	0.747497	0.689045	1.0807	1.421090532505	1.148611	1.36005	1.852265	2.63883	1.987071	1.58146
AT1G01120			168.827	99.5553	61.7365	124.992	0.064688	0.0869391	0.133274	40.677	47.841	26.3682	283.843	235.066	111.439	4.29611	58.5936	232.709	123.621	89.489	2.39692	34.6567	46.5515	3.92251	77.2394	156.188	72.0675	63.6918	110.619	91.3551	64.157	57.393	53.8246	94.4753	126.035	120.067	131.108	133.734	237.752	203.301	15.917	7.62796	25.6902	11.9051	38.7504	3.51504	7.02727	5.39772	18.2073	20.904	36.4227	34.5549	24.7603	93.81	47.1572	18.7217	18.6918	53.5826
AT1G01130			12.4599	10.7013	4.33342	16.2779	0	0.209517	0	6.20976	3.83055	3.3547	3.90842	5.48564	6.87111	1.33765	2.18366	71.924	17.1857	21.2454	2.14293	5.00215	8.09945	1.70699	6.87325	20.7876	3.24154	4.07325	10.2877	32.8247	23.2793	22.0391	7.32134	17.1747	4.64127	16.0953	19.0047	21.3335	24.0148	10.8022	5.86631	6.93948	8.83482	3.62524	5.94376	1.83322	1.10741	0.980265	1.18127	1.91435	1.14223	2.21747	1.66468	10.3853	8.04884	2.99666	3.4554	3.30272
AT1G01140			140.21296	167.2956	47.87438	124.2407	1.318055	2.449230654823	13.65028396512	37.54358	50.91268	114.64894	150.3568	90.83473	42.5318	377.7839	1.355531	82.0989	83.02399	336.2153	0.482159	1.84707	2.431376	0.779353	115.0054	23.3875	6.87446	1.2077318	56.01958	291.55267	235.23824	221.12828	123.8046791	115.55122	59.55675	38.039110511577	40.29879	39.98249	38.49137	34.265763	6.95209	16.50339	24.92366	9.00204	13.075177653	159.15054	263.97572	178.16527	240.34179	187.9863	151.01274	134.16944	173.04204	74.61671	199.6303	134.25435	146.15066	45.47299
AT1G01150			0.0929705	0	0	0.207733	0	0.0535907	0	0.196225	0.130647	0.0678543	0	0	0.160415	0	0.522578	0	0.0493598	0.112198	0.077097	0.0869789	2.701696	0.179085	0.0402993	0.714128	0.0462107	0.266888	0.125857	0.4022773	0.4786846	0.6335264	0.536571	0.171481	0.105573	0.327805	0.381657	0.185674	0.0384783	0.130658	0.0948422	0.217863	0.351302	0	0	0	0	0	0.0453294	0.0484756	0.0498935	0.034719	0.0377068	0.0455352	0.0498386	0.141472	0.125685	0.172529
AT1G01160			49.3469	52.38227	13.39642	114.7396	69.784672	66.16323	0.0898839	62.1787	60.8262	57.58867	27.83118	34.98945	43.03779	65.27507	68.66219	69.69605	66.1315	68.91416	160.09273	113.98086	103.13523	69.77316	30.83142	73.39833	47.61912	73.59372	44.78722	113.5962	84.7493	82.0033	59.71828	61.61628	63.97953	79.7615	68.1431	55.14858	40.94014	43.257093	11.8746	12.0815	12.7008	6.6439	7.19541	31.6512	47.24322	38.49039	32.22986	34.59046	25.85981	25.17351	25.27942	28.19159	23.3681	29.92138	28.49037	35.19856
AT1G01170			40.21621	29.779624	14.2471	141.08493	510.512	431.8743	0	276.7492	263.06192	283.4265	227.33314	252.20072	276.4381	47.10707	42.264591	166.05311	81.25102	123.64062	33.87616	53.62921	1.928407	102.8109	170.77041	173.97204	10.229723	17.502361	206.0712	203.42101	178.61502	186.73181	135.40167	94.57119	113.85933	163.71738	182.18074	178.71074	104.90729	90.71743	43.5999	56.4288	103.67266	78.70261	64.26354	82.92906	331.9042	241.22111	293.23385	287.2773	286.14077	248.13978	254.02348	237.01243	207.29876	217.02896	223.48975	270.3052
AT1G01180			6.94203	6.84729	0.648469	0.206068	10.2747	12.9287	0.0286997	6.99881	7.31796	25.9396	19.4378	17.1083	11.4389	12.0792	15.9977	10.3762	7.26666	11.5854	0.498153	3.18533	0.231674	0.545957	17.6106	12.1064	29.7317	12.2862	11.944	6.04426	9.10333	1.53524	1.23557	0.75778	1.22065	0.365886	0.584257	0.845956	8.43465	13.8096	0.423582	0.36354	0.601757	0.0372989	0.238529	22.4197	25.514	23.0805	18.297	17.4502	15.5899	14.1771	11.2697	7.72758	8.97874	3.79526	3.32066	1.88756
AT1G01190			0.0782124	0.0772172	0.375793	0.09717	1.0777333	0.82419	0.211425	1.078888	0.649063	0.035775	1.21711	1.161055	3.82399	0.366274	37.68358	0	0	0	0.0426913	0.779361	0.0225339	0.0241552	1.388807	19.26915	3.80655	24.67635	0.662766	0.186484	0.0253742	0.0481582	0.0518398	0.199268	0.0543952	0.0211172	0.0248238	0	0	0.0230659	0	0	0.040475	0	0.0612903	0.567678	0.741918	2.86843	3.58334	2.91075	1.599724	2.85117	3.26839	3.33667	3.02678	4.14834	3.19587	0.287152
AT1G01200			0.0328388	0.25695	0	1.13109	0.650625	1.29331	0	1.92542	1.4557	0.559439	0.853434	0.698946	4.2531	0.0391548	7.73889	17.1729	0	0.0712028	0.364579	4.36208	0.192018	0	0.97737	10.1115	5.34941	9.10223	1.06827	0.723553	1.08835	0.878907	0.726894	0.70343	0.536713	3.76665	4.97235	7.97607	4.98841	2.34649	0	0	0.0668136	0.0424456	0.0331796	0.0398836	0.125789	0.255817	0.430448	0.337759	0.799585	0.887444	0.881201	1.64927	0.73344	1.46483	0.994365	1.34895
AT1G01210			13.70963	19.11213	4.92521	47.1931	12.07112	11.944023	1.017962	39.2377	33.4396	28.1172	14.23435	16.57761	23.8439	16.33877	37.53989	29.69344	19.92704	23.51167	75.822942	57.0677	32.930295	24.34237	23.79289	49.86532	20.517952	35.07527	35.43192	53.2749	53.021228	55.9287	32.872535	31.00706	34.50667	50.8018	52.59987	40.52261	20.66509	18.64721	14.3936	7.73434	7.09092	4.665537	2.2679703	15.93804	31.53494	25.05409	27.50619	22.75225	16.86746	21.89474	16.64224	25.68643	22.29091	28.812	28.27016	41.25645
AT1G01220			4.67473700014483	4.0902881843293	1.6182370632089	15.97404544	0.639259	1.22179567	0	13.252398	14.036429	12.402286081	9.210877	13.244555000369	13.878892904	5.53477739	12.0025415	23.8405910418	6.13039955988	8.8865810293845	8.582190418462	10.053591	7.26089302429997	10.6185	7.285707892	14.694041	10.25362659	12.42226788295	10.35818217	13.80656345	13.7152680002888	15.3093701478895	12.1209981704041	9.260511	9.6699810746273	20.57363776	20.4452100009756	17.3459248	12.61245	7.550527	0.44240700226887	0.145707	0.38764100642005	0.0698766	0.18577	8.73849595	15.872173907	12.6422399	15.566277187504	17.72013	14.6821360013501	13.299255	14.9823653	16.6159887	15.5335600258736	15.4670886	15.48921	18.198411
AT1G01225			2.24182	2.09529	0.197316	11.4827	0.974175	0.843548	0	5.73959	5.02203	2.74105	3.3777	4.45438	5.10006	0.628132	13.1223	9.79111	1.87559	3.91223	5.5775	7.42089	14.1992	10.3242	2.56994	10.19	9.1595	12.7003	4.24924	12.1541	12.0146	14.3962	8.60634	5.57494	6.27218	13.8891	12.4155	14.2386	12.1711	11.8992	10.8669	13.7413	26.9983	18.1773	20.9426	0.438579	0.495582	1.30867	2.09228	2.7947	3.78473	3.36996	3.9371	4.10831	4.30546	7.6446	7.5844	7.30463
