Symbol	xref_id	Non_allergic_1	Non_allergic_2	Non_allergic_3	Non_allergic_4	Non_allergic_5	Non_allergic_6	Non_allergic_7	Non_allergic_8	Non_allergic_9	Non_allergic_10	Non_allergic_11	Non_allergic_12	Non_allergic_13	Non_allergic_14	Non_allergic_15	Non_allergic_16	Non_allergic_17	Non_allergic_18	Single_allergic_1	Single_allergic_2	Single_allergic_3	Single_allergic_4	Single_allergic_5	Single_allergic_6	Single_allergic_7	Single_allergic_8	Single_allergic_9	Single_allergic_10	Single_allergic_11	Single_allergic_12	Single_allergic_13	Multi_allergic_1	Multi_allergic_2	Multi_allergic_3	Multi_allergic_4	Multi_allergic_5	Multi_allergic_6	Multi_allergic_7	Multi_allergic_8	Multi_allergic_9	Multi_allergic_10	Multi_allergic_11	Multi_allergic_12	Multi_allergic_13	Multi_allergic_14	Multi_allergic_15	Multi_allergic_16	Multi_allergic_17
DDX11L1	100287102	0.05676	0.07169	0.2269	0	0.07655	0.1413	0.07249	0.106	0.07632	0	0.07534	0.06947	0.2238	0.1995	0.1501	0.06621	0.1234	0.1007	0.06002	0.06177	0.05356	0.2967	0.3829	0.07091	0.1053	0.1809	0.3299	0.2845	0.3615	0.05679	0.07039	0.216	0	0.06475	0.1128	0.1173	0.07844	0.1282	0.06965	0.1247	0.11	0	0	0.04898	0.1315	0.1385	0.416	0.06327
WASH7P	653635	22.31	22.83	21.56	19.02	21.88	31.4	23.83	14.06	21.52	14.19	14.35	27.12	26.26	15.65	20.88	17.81	14.87	21.53	24.44	16.32	16.81	32.64	18.31	12.25	26.41	24.44	26.99	20.57	35.79	21.21	15.25	17.55	21.98	22.31	21.92	18.73	22.93	20.59	17.04	25.55	27.12	19.56	11.14	15.51	12.71	28.26	29.06	21.21
MIR6859-1	102466751	17.93	15.68	9.645	9.163	7.439	15.45	7.044	3.864	18.54	8.583	5.491	15.19	12.68	6.461	10.94	9.651	1.499	13.45	10.21	6.002	6.506	25.95	16.74	5.168	10.23	16.12	16.03	5.53	26.35	16.56	3.42	12.24	3.435	1.573	12.33	2.849	15.24	9.344	11.85	19.68	21.38	15.8	3.765	11.9	0	20.19	22.23	16.91
MIR1302-2HG	107985730	0	0	0.1742	0	0	0	0.2226	0.3256	0.2343	0	0	0.2133	0.229	0	0	0	0	0	0	0	0	0.1822	0	0.2177	0.1617	0.1852	0.2026	0.1747	0.37	0.1744	0.2161	0.221	0	0	0	0.3601	0	0.1968	0.2139	0	0	0.3994	0	0.1504	0	0	0	0.1943
MIR1302-2	100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8427	0	0	0	0	0	0	0	0	0	0	0	0	0.5863	0	0.8289	0	0
FAM138A	645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996442	100996442	0.2682	0.242	0.3638	0.2546	0.3359	0.5723	0.2447	0.4295	0.4637	0.2147	0.2797	0.4221	0.5539	0.5835	0.2787	0.1341	0.2083	0.2209	0.3242	0.4587	0.4881	0.4006	0.2843	0.1675	0.3377	0.4682	0.9354	0.3458	0.3864	0.5368	0.2851	0.1458	0.2863	0.5027	0.3618	0.2969	0.5296	0.4977	0.5643	0.2525	0.427	0.483	0.157	0.6117	0.3551	0.3973	0.5336	0.598
LOC729737	729737	4.402	1.601	2.431	1.73	1.686	2.814	1.838	1.2	1.681	0.9596	0.9322	3.795	3.219	1.746	3.533	0.3996	0.6704	0.881	1.322	0.7083	3.087	2.507	1.41	0.9202	4.593	3.403	5.018	1.082	3.346	0.9084	2.209	4.236	0.832	2.423	1.634	1.292	3.125	2.786	2.228	1.035	4.498	1.923	1.333	2.897	1.151	1.881	2.787	4.812
DDX11L17	102725121	0.05835	0	0.6996	0.07755	0.0787	0.3631	0	0.109	0	0	0.07745	0	0.46	0.3417	0.54	0.1361	0.06343	0.2587	0.3702	0.0635	0.2202	0.427	0.3936	0	0.3248	0.124	0.2713	0.351	0.5575	0	0.07236	0.666	0	0.2663	0.05799	0.3014	0.08064	0.1977	0.07161	0	0.05654	0	0	0.2517	0.06759	0.1424	0.1711	0.06504
WASH9P	102723897	24.76	24.95	23.2	18.61	23.34	31.55	20.2	17.41	30.43	16.5	19.29	25.81	20.5	22.02	19.57	22.42	20.72	23.8	24.78	22.77	18.89	28.56	24.57	18.82	36.56	24.27	30.95	19.97	31.6	23.87	18.62	17.09	23.61	19.01	29.9	19.97	28.55	22.85	17.45	22.8	28.64	20.74	13.3	19.21	14.37	27.86	28.33	24.93
MIR6859-2	102465909	8.273	8.709	5.511	3.665	7.439	8.582	3.522	2.576	1.854	0	0	3.375	5.436	8.076	5.47	3.217	2.998	4.891	4.375	4.502	2.602	7.208	5.581	3.445	5.117	4.395	4.809	1.382	17.57	4.139	5.13	3.498	3.435	1.573	4.112	1.425	5.717	4.672	1.692	7.571	8.017	7.9	0	9.519	1.597	10.09	10.11	6.149
LOC107985721	107985721	0	0.04377	0	0.04605	0.04673	0	0.08851	0.03237	0.04659	0.04314	0.046	0.08482	0	0.04059	0	0	0.03767	0.03073	0.07329	0.03771	0	0.07245	0.0935	0.04329	0.1286	0.07363	0	0.1042	0.1104	0.03467	0.04297	0.0879	0	0.1186	0.03444	0	0.09577	0.03913	0.08505	0.0761	0.06716	0.0397	0	0	0.04014	0	0.1016	0.07726
