Symbol	xref_id	Basal_011116	Basal_011316	Basal_081715	Basal_112415	Suprabasal_011116	Suprabasal_011316	Suprabasal_081715	Suprabasal_112415
DDX11L1	100287102	0.02793	0.02045	0.08576	0.02265	0.1431	0.04127	0.08454	0
WASH7P	653635	1.095	0.7448	2.983	1.523	1.337	1.272	2.969	0.6942
MIR6859-1	102466751	1.357	0.4968	1.563	0	2.086	1.003	1.643	0.4631
MIR1302-2HG	107985730	0	0	0	0.1391	0	0	0	0
MIR1302-2	100302278	0	0	0	0	0	0	0	0
FAM138A	645520	0	0	0	0	0	0	0	0
OR4F5	79501	0	0	0	0	0	0	0	0
LOC100996442	100996442	0.4525	0.145	0.4125	0.2905	0.1449	0.2508	0.4109	0.08364
LOC729737	729737	0.9439	0.3024	1.081	0.7177	0.2505	0.2242	0.6429	0.3624
DDX11L17	102725121	0.02871	0.02102	0.04408	0	0	0	0.01738	0
WASH9P	102723897	0.6549	0.6331	3.238	2.146	1.423	1.51	3.458	0.6258
MIR6859-2	102465909	1.357	0	3.125	0	4.172	3.008	3.697	1.389
LOC107985721	107985721	0.01705	0	0	0.05531	0	0	0	0
LOC112268260	112268260	0	0.01537	0.02149	0.07378	0	0.005171	0.01271	0.02866
OR4F29	729759	0	0	0	0	0	0	0	0
LOC100132287	100132287	0.5173	0.4252	1.046	1.053	0.2381	0.2184	0.5113	0.5188
LOC105378947	105378947	0	0.01442	0	0.03194	0	0	0	0.01344
LOC101928626	101928626	0	0.04233	0.04438	0	0	0	0	0
MIR12136	113219467	45.48	29.5	95.78	53.75	34.63	40.81	75.93	62.53
OR4F16	81399	0.007982	0	0.01226	0.01942	0.008181	0	0	0.02179
LOC100133331	100133331	0.4643	0.5297	1.078	0.9895	0.6751	0.383	0.6079	0.6264
LOC107984841	107984841	2.491	1.022	2.448	1.657	2.145	0.7363	0.9954	0.8841
LOC107984847	107984847	5.612	1.463	4.674	3.549	5.168	2.601	3.628	2.272
LOC107984849	107984849	3.46	0.8446	1.518	0.9354	0.1689	0.7305	0.9976	0.5623
LOC100288069	100288069	1.582	0.4928	2.532	1.556	0.5174	0.3481	1.263	0.6661
LINC01409	105378580	0.1437	0	0.06893	0.2622	0.1012	0.006635	0.2338	0.1042
FAM87B	400728	0	0.3302	0.419	0.1347	0.3649	0.03507	0.1293	0.0324
LINC00115	79854	0.1401	0.4874	1.076	0.3693	0.2513	0.1035	1.336	0.2152
LINC01128	643837	0.6945	0.06586	1.109	0.9685	0.5736	0.4172	0.841	0.8731
LOC107984850	107984850	0	0.01377	0.01443	0.01525	0	0	0	0
FAM41C	284593	0.02704	0.03961	0.02076	0.04386	0.02772	0.05995	0.01637	0.01846
LOC284600	284600	0	0	0	0	0	0	0	0
LINC02593	100130417	0	0	0	0	0	0	0	0
LOC107985728	107985728	0	0	0	0	0	0	0	0
SAMD11	148398	0.03608	0.02642	0.1939	0.3366	0.05548	0.02666	0.1202	0.02463
NOC2L	26155	1.104	0.1225	1.285	1.126	0.1372	1.62	1.398	1.016
KLHL17	339451	0.07039	0.05155	0.07566	0.137	0.2309	0.02081	0.4091	0.07687
PLEKHN1	84069	0.4147	0.2362	0.3449	1.018	1.063	2.128	2.288	1.203
PERM1	84808	0	0	0.147	0.2795	0.02616	0.2169	0.5795	0.3049
HES4	57801	0	0	0	0.1949	0	0.01776	0.07274	0.0164
ISG15	9636	0	0	0.1112	0.235	0	0	0.4385	0
AGRN	375790	0.8345	0.6568	2.567	1.248	0.1106	0.03775	0.653	0.01937
LOC100288175	100288175	0.04737	0	0	0	0.04855	0	0.1721	0.03233
LOC112267874	112267874	0	0.025	0	0.02769	0	0	0.1343	0
LOC105378948	105378948	0.0158	0	0	0	0.01619	0	0.07653	0.02157
RNF223	401934	0	0.03556	0	0.03939	0	0.03588	0.1764	0.01657
C1orf159	54991	1.062	0.09724	0.5388	0.3692	1.517	0.7429	0.4135	0.06474
LINC01342	254099	0	0	0	0	0	0	0	0
MIR200B	406984	0	0	0	0	0	0	0	0
MIR200A	406983	0	0	0	0	0	0	0	0
MIR429	554210	0	0	2.56	0.4508	0	0	1.683	0
TTLL10-AS1	100506376	0.05524	0	0.008481	0.00896	0	0	0	0.01508
TTLL10	254173	0	0	0.03298	0.1219	0	0.02381	0.03251	0.01466
TNFRSF18	8784	0	0	0.3892	0.1523	0	0.01387	0.01137	0.01282
TNFRSF4	7293	0	0	0	0.01019	0	0	0	0
SDF4	51150	0.05668	0.07471	0.6701	0.4872	0.05809	0.3853	0.4598	0.1315
B3GALT6	126792	0.3454	0.1084	2.046	1.454	0.3372	0.4861	1.095	0.3592
C1QTNF12	388581	0.7754	0.05162	0.3247	0.1715	0	0	0	0
UBE2J2	118424	0.3936	0.09347	0.6533	0.7851	0.3925	0.2908	0.5346	0.4864
LINC01786	101928895	0.138	0.1213	0.5511	0.2687	0	0	0.4848	0.7915
SCNN1D	6339	0.1511	0.09956	0.05799	0.08576	0	0	0.01829	0.01031
ACAP3	116983	0.2365	0.433	0.3952	0.7447	0.1569	0.06168	1.508	0.3988
MIR6726	102465434	0	0	0	0	0	0	0	0
SNORD167	109623456	0	0	0	0	0	0	0	0
PUSL1	126789	0.4248	0.3828	1.204	1.192	0.4354	0.845	1.899	0.4237
INTS11	54973	0.5265	1.092	3.085	2.946	0.6296	1.349	1.785	1.126
MIR6727	102465435	0	0	0	0	0	2.098	0	0.4844
CPTP	80772	0	0.07776	0.2679	0.3937	0	0.2803	0.2664	0.1553
TAS1R3	83756	0.08953	0.04683	0.06874	0.1037	0.07866	0.04726	0.1859	0.06111
DVL1	1855	0.8142	0.2223	0.7946	1.209	0.5375	0.826	1.537	0.876
MIR6808	102466740	0	0	0	0	0	0	0	0
MXRA8	54587	0	0	0	0.03091	0.04883	0.2042	0.1615	0
AURKAIP1	54998	3.917	0.5691	6.158	7.589	3.569	5.398	9.242	5.092
CCNL2	81669	4.243	1.434	4.548	6.837	1.382	1.741	3.505	2.528
MRPL20-AS1	148413	0.5542	0.5412	2.249	1.755	2.327	1.385	3.084	0.8467
MRPL20	55052	1.81	1.455	4.643	4.941	4.525	4.698	8.634	4.279
LOC107984868	107984868	0.4429	0.07013	0.0919	0.1553	0	0.008846	0.1087	0.1144
ANKRD65	441869	0.442	0.6069	3.733	2.879	0.269	0.4083	2.76	0.5845
ANKRD65-AS1	105378585	0.243	0	0.7463	0.4599	2.74	0	0.7357	0
TMEM88B	643965	0	0	0	0	0	0	0	0
LINC01770	102724312	0	0	0.05933	0.03134	0	0	0.117	0
LOC107985729	107985729	0.1577	0	0	0	0	0	0	0
VWA1	64856	0.1438	0.007521	0.4731	0.1666	0.04211	0.0683	0.4353	0.09113
ATAD3C	219293	0.2627	0.0612	0.1008	0.0581	0.06119	0.01765	0.04337	0.04075
ATAD3B	83858	0.1325	0.02156	0.6894	0.3044	0.1811	0.07614	0.3387	0.4471
ATAD3A	55210	0.4478	0.1054	0.8225	0.4669	3.131	0.1182	0.7939	0.1965
TMEM240	339453	0	0	0	0	0	0	0	0
SSU72	29101	2.156	0.4736	7.227	6.586	2.32	2.151	7.483	2.698
FNDC10	643988	0.152	0.2386	1.034	1.268	0.757	0.5778	1.512	0.9488
LOC105378586	105378586	0	0.3544	0.1858	0.5233	0.4134	0	0.293	0.1101
MIB2	142678	0.1095	0.2301	0.3508	0.498	0.08782	0.6296	0.7551	0.5588
MMP23B	8510	0.03338	0.01222	0.06407	0.04061	0.05133	0.02467	0.1011	0.04557
CDK11B	984	0.5181	0.6891	2.224	1.749	3.837	1.031	2.132	0.8011
SLC35E2B	728661	3.072	1.668	1.897	3.97	1.088	0.9821	1.573	1.837
MMP23A	8511	0	0	0.03909	0	0	0	0	0
CDK11A	728642	0.5899	1.44	2.381	1.889	1.24	0.9501	2.308	1.198
SLC35E2A	9906	0.9231	1.389	3.014	3.4	0.7777	0.5606	1.906	1.67
LOC112268218	112268218	0.1589	0.04988	0.08715	0.1657	0.4887	0.1678	0.3437	0.124
NADK	65220	0.2265	0.08625	0.2643	0.7642	0.4736	0.2276	0.7515	0.6493
GNB1	2782	10.85	3.51	15.15	21.06	6.334	13.88	11.82	14.52
GNB1-DT	105378949	0	0.7814	0.04819	0.1782	0	0.1855	0.304	0.407
CALML6	163688	0.1027	0	0.284	0.1667	0	0	0	0
TMEM52	339456	0	0	0.6061	0.04002	0	0	0.3286	1.179
CFAP74	85452	0	0	0	0.01011	0	0	0	0
LOC107984872	107984872	0	0	0	0.01337	0	0	0	0
LOC105378589	105378589	0	0	0	0	0	0	0	0
GABRD	2563	0	0	0	0	0	0	0	0
LOC105378590	105378590	0	0	0	0	0	0	0	0
PRKCZ-DT	105378591	0	0.06256	0	0.06929	0	0	0.2069	0
PRKCZ	5590	0.2512	0.1288	0.7713	0.6315	0.07724	0.4362	0.4068	0.3214
PRKCZ-AS1	100506504	1.436	0.2966	0.9893	1.672	11.51	0	0.7357	0
FAAP20	199990	0.3117	0.02584	0.3251	0.2767	0.06029	0.03042	0.1175	0.06022
LOC112268219	112268219	0.1382	0	0.03978	0.05603	0	0	0.115	0.2947
LOC105378593	105378593	0	0	0.2061	0.1452	0	0	0	0
SKI	6497	1.781	1.158	2.257	4.269	2.313	1.667	1.275	1.227
MORN1	79906	0	0.005447	0.02855	0.1327	0	0.01099	0.1261	0.05077
LOC100129534	100129534	0.1437	0.01503	0.1733	0.1165	0.06311	0.1062	0.174	0
RER1	11079	3.641	2.678	7.147	9.787	4.295	2.634	6.596	6.895
