GeneName	xref_id	HN1.5	Proteo
A1BG	1	119	NA
A1CF	29974	-10	NA
A2M	2	-12	NA
A2ML1	144568	-22	NA
A3GALT2	127550	-17	NA
A4GALT	53947	32	NA
A4GNT	51146	-17	NA
AAAS	8086	-81	NA
AACS	65985	-5	NA
AADAC	13	-33	NA
AADACL2	344752	-18	NA
AADACL3	126767	-1	NA
AADACL4	343066	2	NA
AADAT	51166	-98	NA
AAGAB	79719	-104	NA
AAK1	22848	23	NA
AAMDC	28971	23	NA
AAMP	14	-51	NA
AANAT	15	120	NA
AAR2	25980	-96	NA
AARD	441376	4	NA
AARS		-12	NA
AARS2	57505	-73	NA
AARSD1	80755	-117	NA
AASDH	132949	0	NA
AASDHPPT	60496	-119	NA
AASS	10157	-26	NA
AATF	26574	-66	NA
AATK		134	NA
ABAT	18	-40	NA
ABCA1	19	50	NA
ABCA10	10349	36	NA
ABCA12	26154	-44	NA
ABCA13	154664	14	NA
ABCA2	20	94	NA
ABCA3	21	-21	NA
ABCA4	24	35	NA
ABCA5	23461	84	NA
ABCA6	23460	-19	NA
ABCA7	10347	13	NA
ABCA8	10351	-24	NA
ABCA9	10350	39	NA
ABCB1	5243	-72	NA
ABCB10	23456	-96	NA
ABCB11	8647	63	NA
ABCB4	5244	-30	NA
ABCB5	340273	19	NA
ABCB6	10058	169	NA
ABCB7	22	7	NA
ABCB8	11194	-103	NA
ABCB9	23457	0	NA
ABCC1	4363	49	NA
ABCC10	89845	-73	NA
ABCC11	85320	-12	NA
ABCC12	94160	-23	NA
ABCC2	1244	-61	NA
ABCC3	8714	12	NA
ABCC4	10257	-87	NA
ABCC5	10057	-49	NA
ABCC6	368	-55	NA
ABCC8	6833	8	NA
ABCC9	10060	-20	NA
ABCD1	215	-54	NA
ABCD2	225	-58	NA
ABCD3	5825	-100	NA
ABCD4	5826	-16	NA
ABCE1	6059	-152	NA
ABCF1	23	-85	NA
ABCF2	10061	-196	NA
ABCF3	55324	-59	NA
ABCG1	9619	21	NA
ABCG2	9429	-177	NA
