Metabolite	HMDB	KEGG	xref_id	Hot_F1	Hot_F2	Hot_F3	Hot_F4	Hot_P1	Hot_P2	Hot_P3	Hot_P4
Fructose 1,6-bisphosphate	HMDB0001058	C00354	CHEBI:32966	0.534758102	1.067142123	0.905602251	0.868872008	0.156963067	0.616226062	0.589187482	0.284406319
D-Ribulose 1,5-bisphosphate	HMDB0244230	C01182	CHEBI:57870	0.114349647	0.125629049	0.089800927	0.103565299	0.057276809	0.138868604	0.082468195	0.044622125
Citric acid	HMDB0000094	C00158	CHEBI:16947	5.277514699	5.099733951	5.64631031	8.537119468	11.76948933	16.95329287	16.04481062	13.83436606
6-Phosphogluconic acid	HMDB0001316	C00345	CHEBI:58759	2.893969853	2.004483257	1.367119952	1.848026452	2.083931987	3.347242374	2.643492238	1.854295953
Phosphoenolpyruvic acid	HMDB0000263	C00074	CHEBI:58702	0.367212485	0.551239707	0.404098638	0.390303167	0.401892322	0.285379411	0.468034367	0.498086115
3-Phosphoglyceric acid	HMDB0000807	C00597	CHEBI:58272	0.45554336	0.868602005	0.845069678	0.815859465	0.357577254	0.310618607	0.518957663	0.537988133
L-Malic acid	HMDB0000156	C00149	CHEBI:15589	25.8623791	27.09703988	23.83783472	28.86184551	37.70354736	55.86006525	39.77320345	28.32872232
Fumaric acid	HMDB0000134	C00122	CHEBI:29806	9.761185354	9.732600964	8.753250547	11.28070246	15.60580999	25.62625717	16.98127625	11.25046285
Oxoglutaric acid	HMDB0000208	C00026	CHEBI:16810	1.606302625	1.697634947	1.872279966	1.625725578	0.548024884	0.606382222	1.157050817	0.867402941
cis-Aconitic acid	HMDB0000072	C00417	CHEBI:16383	0.34037697	0.378341877	0.378085193	0.463771822	0.329796361	0.326556059	0.353416309	0.289451911
Glucose 6-phosphate	HMDB0001401	C00092	CHEBI:61548	4.102753566	6.841740739	11.27108143	5.254394593	1.490010274	1.344579645	2.29612071	2.594121221
Succinic acid	HMDB0000254	C00042	CHEBI:30031	8.617064664	10.05317898	11.0156119	10.90995011	2.412883578	1.158725451	3.680545548	4.569789925
Dihydroxyacetone phosphate	HMDB0001473	C00111	CHEBI:57642	2.020622206	2.940191986	2.520796227	1.958401627	0.895523672	0.76949219	1.048148125	0.717207845
Uridine diphosphate glucose	HMDB0000286	C00029	CHEBI:58885	2.334271699	2.764595158	2.185883554	2.41582053	0.696361873	0.520402079	1.075871004	1.034769723
Sucrose 6-phosphate	HMDB0301916	C16688	CHEBI:57723	0.213671624	0.269312288	0.372686287	0.343202504	0.186924158	0.201088412	0.50775845	0.371078757
D-Erythrose 4-phosphate	HMDB0001321	C00279	CHEBI:16897	0.333548575	0.529603236	0.597093212	0.643150361	0.307901565	0.279817319	0.4019807	0.411447025
Ribulose 5-phosphate	HMDB0000618	C00199	CHEBI:58121	0.274822291	0.870342467	0.51299786	0.488476143	0.349549237	0.190550676	0.255739244	0.390624425
GDP-glucose	HMDB0003351	C00394	CHEBI:62254	0.068690703	0.07542084	0.081520812	0.078542982	0.020889752	0.016921332	0.022048194	0.023351396
D-Glucuronic acid	HMDB0000127	C00191	CHEBI:58720	0.412994736	0.594471682	0.755939249	0.713968558	0.125743126	0.353033685	0.150647373	0.174978335
Glycolate	-	C00160	CHEBI:29805	1.261557208	1.271268395	1.670469189	1.705476366	0.83566875	1.391096676	1.288784759	1.159341288
