Gene ID	Description (SWISS PROT)	Description (Araport11)	xref_id	Hot_F1	Hot_F2	Hot_F3	Hot_F4	Hot_P1	Hot_P2	Hot_P3	Hot_P4
Locus_36_Transcript_77/113	Selenium-binding protein 1	selenium-binding protein 1	AT4G14030	23222.71255	62923.70817	76960.9109	77976.59289	3654.141393	5628.534824	8760.067794	13489.79737
Locus_175_Transcript_179/384	Cysteine proteinase RD21A	Granulin repeat cysteine protease family protein		72955.55567	33394.63671	18321.56675	15628.17494	38781.52191	77552.70044	63522.50954	61643.64695
Locus_892_Transcript_6/18	Trans-resveratrol di-O-methyltransferase	O-methyltransferase family protein	AT4G35160	6758.767917	32022.44728	21751.24974	20897.70605	1013.852258	1540.672918	844.8737258	936.5286706
Locus_360_Transcript_58/67	ATP-dependent 6-phosphofructokinase 3	phosphofructokinase 3	AT4G26270	18555.39704	16829.81013	15040.01181	15453.03554	2618.654799	2257.388544	2691.426041	3380.60398
Locus_175_Transcript_195/384	Cysteine proteinase RD21A	Granulin repeat cysteine protease family protein	AT1G47128	37662.09659	15280.29301	7751.629476	6917.094474	16982.20355	32826.88081	29665.41549	27665.54748
Locus_43_Transcript_1/63	Metallothionein type 2b	metallothionein 2A		7873.829651	14978.7923	8860.013472	9736.029517	12173.5177	11758.81709	14513.55278	14415.10696
Locus_201_Transcript_2/41	Polyubiquitin 3	ubiquitin 4		15708.53655	14724.43875	15374.70563	15023.65247	17575.20523	14096.02391	14110.25812	14211.81792
Locus_27_Transcript_25/28	Enolase	Enolase	AT2G36530	8285.00514	12211.85603	8578.703047	7741.699844	3859.034429	3767.579207	4246.755465	4469.579073
Locus_4631_Transcript_6/17	Fructose-bisphosphate aldolase 1, cytoplasmic	Aldolase superfamily protein	AT2G36460	4385.975701	8611.611262	5846.730058	5381.848104	1863.485678	2107.153205	2105.958233	2297.356695
Locus_76_Transcript_24/71	Asparagine synthetase [glutamine-hydrolyzing]	glutamine-dependent asparagine synthase 1	AT3G47340	9531.639348	8163.83491	4868.074974	6188.38779	1454.764224	1242.229563	973.8078103	1117.542222
Locus_63_Transcript_12/34	Polyubiquitin 10	polyubiquitin 10	AT4G02890	8650.4186	7759.204736	8188.740364	8224.091427	8982.095774	7726.569451	7551.868743	7998.40511
Locus_24_Transcript_1188/1190	Aconitate hydratase 3, mitochondrial	aconitase 3	AT2G05710	6249.942429	7112.762036	5028.725671	4748.078868	998.1905346	949.4276515	940.1846622	1123.949871
